datakey,data,datatype,databasis
,,,
households,households,num,unit=HH;precision=0
structures,structures,num,unit=ST;precision=0
population,population,num,unit=PPL;precision=0
,,,
%households,households/households,num,unit=HH/HH;multiplier=%;precision=1
%structures,structures/structures,num,unit=ST/ST;multiplier=%;precision=1
%population,population/population,num,unit=PPL/PPL;multiplier=%;precision=1
,,,
incometype,incometype,category,Earnings;0;Dividends;1;Retirement;2;Welfare;3;Other;4
,,,
income,income,range,heading=$;unit=USD;multiplier=K;precision=0
rent,rent,range,heading=$;unit=USD;precision=0
value,value,range,heading=$;unit=USD;multiplier=K;precision=0
cost,cost,range,heading=$;unit=USD;precision=0
rentercost,rentercost,range,heading=$;unit=USD;precision=0
ownercost,ownercost,range,heading=$;unit=USD;precision=0
,,,
midincome,mid|income,num,heading=$;unit=USD;multiplier=K;precision=0
aggincome,agg|income,num,heading=$;unit=USD;multiplier=M;precision=6
midvalue,mid|value,num,heading=$;unit=USD;multiplier=K;precision=0
aggvalue,agg|value,num,heading=$;unit=USD;multiplier=M;precision=6
midrent,mid|rent,num,heading=$;unit=USD;precision=0
aggrent,agg|rent,num,heading=$;unit=USD;multiplier=M;precision=6
midcost,mid|cost,num,heading=$;unit=USD;precision=0
aggcost,agg|cost,num,heading=$;unit=USD;multiplier=M;precision=6
midrentercost,mid|rentercost,num,heading=$;unit=USD;precision=0
aggrentercost,agg|rentercost,num,heading=$;unit=USD;multiplier=M;precision=6
midownercost,mid|ownercost,num,heading=$;unit=USD;precision=0
aggownercost,agg|ownercost,num,heading=$;unit=USD;multiplier=M;precision=6
,,,
%costincome,cost/income,range,unit=USD/USD;multiplier=%;precision=1
,,,
age,age,range,unit=YRS;precision=0
sex,sex,category,Female;0;Male;1
origin,origin,category,NonHispanic;0;Hispanic;1
race,race,category,White;0;Asian;1;Other;2;Black;3
,,,
midage,mid|age,num,unit=YRS;precision=0
,,,
tenure,tenure,category,Renter;0;Owner;1
mortgage,mortgage,category,Equity;0;Mortgage;1
yearoccupied,yearoccupied,range,precision=0
,,,
occupancy,occupancy,category,Vacant;0;Occupied;1
vacancy,vacancy,category,ForRent;0;ForSale;1;Recreational;2;Other;3
yearbuilt,yearbuilt,range,precision=0
rooms,rooms,range,unit=RMS;precision=0
bedrooms,bedrooms,range,unit=BEDRMS;precision=0
unit,unit,category,House;0;Apartment;1;Split;2;Mobile;3
,,,
laborstatus,laborstatus,category,Domestic;0;Working;1
laborforce,laborforce,category,Soldier;0;Civilian;1
employstatus,employstatus,category,Unemployed;0;Employed;1
employlocation,employlocation,category,AtHome;0;OnSite;1
,,,
education,education,category,Uneducated;0;GradeSchool;1;Associates;2;Bachelors;3;Graduate;4
,,,
language,language,category,English;0;IndoEuro;1;Asian;2;Spanish;3;Other;4
nativity,nativity,category,Foreign;0;Native;1
english,english,category,Inable;0;Poor;1;Well;2;Fluent;3
,,,
size,size,range,unit=PPL/HH;precision=0
children,children,category,W/OChildren;0;W/Children;1
,,,
commute,commute,range,unit=MINS;precision=0
,,,
schoollevel,schoollevel,category,Elementary;0;Middle;1;High;2
gradelevel,gradelevel,category,KG;0;1stGrade;1;2ndGrade;2;3rdGrade;3;4thGrade;4;5thGrade;5;6thGrade;6;7thGrade;7;8thGrade;8;9thGrade;9;10thGrade;10;11thGrade;11;12thGrade;12





