geopath,geography,mortgage,aggincome,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,state=48|county=157|tract=673902,Primary|Secondary|Tertiary,454356900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,state=48|county=157|tract=672002,Primary|Secondary|Tertiary,43856200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,state=48|county=157|tract=672001,Primary|Secondary|Tertiary,112076800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,state=48|county=157|tract=671501,Primary|Secondary|Tertiary,199796600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,state=48|county=157|tract=671601,Primary|Secondary|Tertiary,85848700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,state=48|county=157|tract=671602,Primary|Secondary|Tertiary,94072800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,state=48|county=157|tract=671502,Primary|Secondary|Tertiary,42824400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,state=48|county=157|tract=670902,Primary|Secondary|Tertiary,137243800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,state=48|county=157|tract=674602,Primary|Secondary|Tertiary,328623600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,state=48|county=157|tract=674502,Primary|Secondary|Tertiary,756012900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6705,state=48|county=157|tract=670500,Primary|Secondary|Tertiary,76640100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6708,state=48|county=157|tract=670800,Primary|Secondary|Tertiary,242272700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6740,state=48|county=157|tract=674000,Primary|Secondary|Tertiary,139411900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6755,state=48|county=157|tract=675500,Primary|Secondary|Tertiary,378480600.0,Owner,2017
