geopath,households,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,493,state=48|county=157|tract=670101,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,422,state=48|county=157|tract=670102,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6702,954,state=48|county=157|tract=670200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6703,278,state=48|county=157|tract=670300,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6704,595,state=48|county=157|tract=670400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6705,392,state=48|county=157|tract=670500,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,607,state=48|county=157|tract=670601,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,196,state=48|county=157|tract=670602,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6707,158,state=48|county=157|tract=670700,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6708,801,state=48|county=157|tract=670800,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,292,state=48|county=157|tract=670901,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,265,state=48|county=157|tract=670902,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,303,state=48|county=157|tract=671001,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,719,state=48|county=157|tract=671002,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6711,459,state=48|county=157|tract=671100,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6712,492,state=48|county=157|tract=671200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6713,700,state=48|county=157|tract=671300,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6714,2028,state=48|county=157|tract=671400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,327,state=48|county=157|tract=671501,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,47,state=48|county=157|tract=671502,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,1038,state=48|county=157|tract=671601,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,146,state=48|county=157|tract=671602,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6717,116,state=48|county=157|tract=671700,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6718,544,state=48|county=157|tract=671800,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6719,97,state=48|county=157|tract=671900,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,780,state=48|county=157|tract=672001,Renter,2015
