geopath,geography,mortgage,households,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,state=48|county=157|tract=670101,Primary|Secondary|Tertiary,918,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,state=48|county=157|tract=670102,Primary|Secondary|Tertiary,448,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6702,state=48|county=157|tract=670200,Primary|Secondary|Tertiary,1137,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6703,state=48|county=157|tract=670300,Primary|Secondary|Tertiary,602,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6704,state=48|county=157|tract=670400,Primary|Secondary|Tertiary,804,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6705,state=48|county=157|tract=670500,Primary|Secondary|Tertiary,823,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,state=48|county=157|tract=670601,Primary|Secondary|Tertiary,1993,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,state=48|county=157|tract=670602,Primary|Secondary|Tertiary,218,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6707,state=48|county=157|tract=670700,Primary|Secondary|Tertiary,1079,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6708,state=48|county=157|tract=670800,Primary|Secondary|Tertiary,2727,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,state=48|county=157|tract=670901,Primary|Secondary|Tertiary,2551,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,state=48|county=157|tract=670902,Primary|Secondary|Tertiary,1197,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,state=48|county=157|tract=671001,Primary|Secondary|Tertiary,997,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,state=48|county=157|tract=671002,Primary|Secondary|Tertiary,1092,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6711,state=48|county=157|tract=671100,Primary|Secondary|Tertiary,1544,Owner,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6712,state=48|county=157|tract=671200,Primary|Secondary|Tertiary,1146,Owner,2015
